service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
881614,0,0,0,0,0,0,1,20130819,20140919
880893,1,1,1,1,1,1,0,20130819,20140919
881744,0,0,0,0,0,0,1,20130819,20140919
882006,0,0,0,0,0,0,1,20130819,20140919
882002,1,1,1,1,1,1,0,20130819,20140919
880772,1,1,1,1,1,0,0,20130819,20140919
880774,0,0,0,0,0,1,1,20130819,20140919
881444,0,0,0,0,0,0,1,20130819,20140919
881445,0,0,0,0,0,0,1,20130819,20140919
881397,0,0,0,0,0,1,0,20130819,20140919
881408,1,1,1,1,1,0,0,20130819,20140919
881411,1,1,1,1,1,0,0,20130819,20140919
880851,1,1,1,1,1,0,0,20130819,20140919
880853,0,0,0,0,0,1,0,20130819,20140919
881502,0,0,0,0,0,0,1,20130819,20140919
881578,0,0,0,0,0,1,1,20130819,20140919
724594,1,1,1,1,1,0,0,20130819,20140919
881579,0,0,0,0,0,1,1,20130819,20140919
