"agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_id"
"LRTA","LRT 1","Baclaran - Roosevelt","Urban railway line serving 20 stations between Balaran and Roosevelt",2,"http://www.lrta.gov.ph/train_operating_schedules.php","fdff00",,"ROUTE_880747"
"LRTA","LRT 2","Recto - Santolan","Light rail line serving 11 stations between Recto and Santolan",2,"http://www.lrta.gov.ph/train_operating_schedules.php","a520a1",,"ROUTE_880801"
"LTFRB",,"Alabang (Starmall) Lagro","South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - Quirino Highway / La Mesa Road Intersection, Calcoocan City",3,,,,"LTFRB_PUB1001"
"LTFRB",,"Alabang (Starmall) Lagro","Quirino Highway / La Mesa Road Intersection, Calcoocan City - Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila",3,,,,"LTFRB_PUB1002"
"LTFRB",,"Alabang Fairview","South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - SM Public Transport Terminal, Regalado Highway, Quezon City",3,,,,"LTFRB_PUB1003"
"LTFRB",,"Alabang Fairview","Robinsons Nova Market, Quirino Highway, Caloocan City - Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila",3,,,,"LTFRB_PUB1004"
"LTFRB",,"Alabang Lawton via Sucat","Progreso 2, Makati City, Manila - Tejeron, Makati City, Manila",3,,,,"LTFRB_PUB1005"
"LTFRB",,"Alabang Lawton via Zapote Coastal Rd","Alabang-Zapote Road, Muntinlupa City, Manila - Taft Ave, Manila",3,,,,"LTFRB_PUB1007"
"LTFRB",,"Alabang Lawton via Zapote Coastal Rd","Taft Ave, Manila - Alabang-Zapote Road, Muntinlupa City, Manila",3,,,,"LTFRB_PUB1008"
"LTFRB",,"Alabang Malabon (Letre) via EDSA","South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",3,,"FFFFFF",,"LTFRB_PUB1009"
"LTFRB",,"Alabang Malabon (Letre) via EDSA","Circimferential Road 4, Malabon City - Starmall Footbridge, Starmall Starmall Service Rd, Muntinlupa City, Manila",3,,"FFFFFF",,"LTFRB_PUB1010"
"LTFRB",,"Alabang Malanday","South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila - ET Pacific, MacArthur Highway, City of Meycauayan",3,,,,"LTFRB_PUB1011"
"LTFRB",,"Alabang Malanday","YU Laundry Shop, MacArthur Highway, City of Meycauayan - South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",3,,,,"LTFRB_PUB1012"
