"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","wheelchair_boarding"
"LTFRB_4944",,"Baclaran LRT",,14.5339,120.998,,,0,,0
"LTFRB_4945",,"EDSA LRT",,14.5381,121.001,,,0,,0
"LTFRB_4946",,"Libertad LRT",,14.5479,120.999,,,0,,0
"LTFRB_4947",,"Gil Puyat LRT",,14.5543,120.997,,,0,,0
"LTFRB_4948",,"Vito Cruz LRT",,14.5636,120.995,,,0,,0
"LTFRB_4949",,"Quirino Ave LRT",,14.5703,120.992,,,0,,0
"LTFRB_4950",,"Pedro Gil LRT",,14.5763,120.988,,,0,,0
"LTFRB_4951",,"UN Ave LRT",,14.5826,120.985,,,0,,0
"LTFRB_4952",,"Central Terminal LRT",,14.5928,120.982,,,0,,0
"LTFRB_4953",,"Carriedo LRT",,14.5991,120.981,,,0,,0
"LTFRB_4954",,"Doroteo Jose LRT",,14.6053,120.982,,,0,,0
"LTFRB_4955",,"Bambang LRT",,14.6109,120.982,,,0,,0
"LTFRB_4956",,"Tayuman LRT",,14.6168,120.983,,,0,,0
"LTFRB_4957",,"Blumentritt LRT",,14.6228,120.983,,,0,,0
"LTFRB_4958",,"Abad Santos LRT",,14.6306,120.982,,,0,,0
"LTFRB_4959",,"R. Papa LRT",,14.636,120.982,,,0,,0
"LTFRB_4960",,"5th Ave LRT ",,14.6444,120.984,,,0,,0
"LTFRB_4961",,"Monumento LRT",,14.6561,120.984,,,0,,0
"LTFRB_4962",,"LRT Balintawak",,14.6574,121.004,,,0,,0
"LTFRB_4963",,"Roosevelt LRT",,14.6575,121.022,,,0,,0
"LTFRB_4977",,"Recto LRT",,14.6035078518,120.9834301472,,,0,,0
"LTFRB_4978",,"Legarda LRT",,14.600777309,120.9924852848,,,0,,0
"LTFRB_4979",,"Pureza LRT",,14.6017324837,121.005038023,,,0,,0
"LTFRB_4980",,"V. Mapa LRT",,14.6042,121.017,,,0,,0
"LTFRB_4981",,"J. Ruiz LRT",,14.6105,121.026,,,0,,0
"LTFRB_4982",,"Gilmore LRT",,14.6136,121.034,,,0,,0
"LTFRB_4983",,"Betty Go Belmonte LRT",,14.6185,121.043,,,0,,0
"LTFRB_4984",,"Cubao LRT",,14.6227,121.053,,,0,,0
"LTFRB_4985",,"Anonas LRT",,14.628,121.065,,,0,,0
"LTFRB_4986",,"Katipunan LRT",,14.631,121.073,,,0,,0
"LTFRB_4987",,"Santolan LRT",,14.6223,121.086,,,0,,0
"LTFRB_1",,"Ang Dating Daan, Balagtas",,14.8237,120.9,,,0,,0
"LTFRB_10",,"Vista Lodge, MacArthur Highway, Balagtas",,14.8131,120.913,,,0,,0
"LTFRB_100",,"Floresco North Mortuary, MacArthur Highway, Caloocan City",,14.6601,120.984,,,0,,0
"LTFRB_1000",,"General Hospital, Commonwealth Avenue, Quezon City",,14.6671,121.073,,,0,,0
"LTFRB_1001",,"Loyola Memorial Chapel, Commonwealth Avenue, Quezon City",,14.6658,121.071,,,0,,0
"LTFRB_1002",,"Commonwealth Avenue, Quezon City",,14.6647,121.07,,,0,,0
"LTFRB_1003",,"St Peter Chapels, Commonwealth Avenue, Quezon City",,14.6631,121.067,,,0,,0
"LTFRB_1004",,"Commonwealth Avenue / Central Avenue Intersection, Quezon City",,14.6617,121.065,,,0,,0
"LTFRB_1005",,"Social Science Institute, Commonwealth Avenue, Quezon City",,14.6605,121.063,,,0,,0
"LTFRB_1006",,"Commonwealth Avenue, Quezon City",,14.6589,121.061,,,0,,0
"LTFRB_1007",,"University of The Phillippines - Ayala Land Technohub, Commonwealth Avenue, Quezon City",,14.6575,121.059,,,0,,0
"LTFRB_1008",,"University of The Phillippines - Ayala Land Technohub, Commonwealth Avenue, Quezon City",,14.6563,121.057,,,0,,0
"LTFRB_1009",,"Commonwealth Avenue / University Avenue Intersection, Quezon City",,14.6547,121.055,,,0,,0
"LTFRB_101",,"Bonifacio Market, MacArthur Highway, Caloocan City",,14.6576,120.984,,,0,,0
"LTFRB_1010",,"Philippine Coconut Authority, Commonwealth Avenue, Quezon City",,14.6536,121.053,,,0,,0
"LTFRB_1011",,"Elliptical Rd / Commonwealth Avenue Intersection, Quezon City",,14.6527,121.052,,,0,,0
"LTFRB_1012",,"Agricultural Training Institute, Elliptical Rd, Quezon City",,14.6543,121.049,,,0,,0
"LTFRB_1013",,"Bureau of Soil And Water Management, Elliptical Rd, Quezon City",,14.6535,121.047,,,0,,0
"LTFRB_1014",,"Elliptical Rd / North Avenue Intersection, Quezon City",,14.6514,121.047,,,0,,0
"LTFRB_1015",,"Dept. of Env & Natural Resources, Visayas Ave, Quezon City",,14.6557,121.047,,,0,,0
